Date,Film,Rating,Genres
2024/05/19/,Kingdom of the Planet of the Apes,★★★,"Adventure, Science Fiction, Thriller, Action, Drama"
2024/05/03/,Challengers,★★★½,"Romance, Drama"
2024/04/29/,The Fall Guy,★★★½,"Action, Drama, Romance, Comedy"
2024/03/01/,Dune: Part Two,★★★★½,"Adventure, Science Fiction"
2024/02/28/,Dune,★★★★,"Science Fiction, Adventure"
2024/02/23/,Poor Things,★★★★,"Romance, Science Fiction, Comedy"
2024/02/17/,The Breakfast Club,★★½,"Drama, Comedy"
2024/02/14/,Ex Machina,★★★★,"Science Fiction, Drama"
2024/02/14/,(500) Days of Summer,★★★,"Romance, Comedy, Drama"
2024/02/13/,CODA,★★★★,"Drama, Music, Romance"
2024/02/11/,No Hard Feelings,★★½,"Comedy, Romance"
2023/12/30/,Wonka,★★½,"Fantasy, Family, Comedy"
2023/12/26/,Ferrari,★½,"History, Drama"
2023/12/10/,Mortal World 2,★★★½,"Crime, Action, Comedy"
2023/10/30/,"Are You There God? It's Me, Margaret.",★★★½,"Drama, Comedy"
2023/07/29/,Spider-Man: Across the Spider-Verse,★★★★★,"Animation, Science Fiction, Adventure, Action"
2023/07/23/,Mission: Impossible – Dead Reckoning,★★★,"Action, Adventure, Thriller"
2023/07/21/,Barbie,★★★,"Comedy, Adventure"
2023/03/13/,The Grand Budapest Hotel,★★★★,"Comedy, Drama"
2023/03/11/,The Prestige,★★★★,"Science Fiction, Drama, Mystery"
2023/02/03/,Ford v Ferrari,★★★★,"Drama, Action, History"
2023/01/11/,The Fabelmans,★★★,Drama
2022/12/20/,La La Land,★★★★★,"Drama, Comedy, Music, Romance"
2022/06/21/,Men,★★,"Fantasy, Horror, Thriller"
2022/06/11/,Life Is Beautiful,★★★★★,"Comedy, Drama"
2022/06/06/,Everything Everywhere All at Once,★★★★½,"Science Fiction, Adventure, Comedy, Action"
2022/03/15/,The Adam Project,★★★,"Comedy, Action, Adventure, Science Fiction"
2022/03/14/,The Dark Knight,★★★★★,"Drama, Thriller, Action, Crime"
2022/03/04/,The Batman,★★★★½,"Crime, Mystery, Thriller"
2022/01/19/,Scream,★★★,"Mystery, Horror"
2022/01/13/,Shutter Island,★★★★½,"Mystery, Drama, Thriller"
2022/01/07/,The Great Gatsby,★★★½,"Drama, Romance"
2022/01/07/,Little Women,★★★★,"Drama, Romance, History"
2022/01/05/,Inception,★★★★½,"Action, Adventure, Science Fiction"
2022/01/04/,Predestination,★★★★,"Science Fiction, Thriller"
2022/01/02/,The Big Short,★★★½,"Drama, Comedy"
2022/01/01/,La La Land,★★★★,"Drama, Comedy, Music, Romance"
2022/01/01/,"Crazy, Stupid, Love.",★★★★,"Comedy, Romance, Drama"
2021/12/31/,The French Dispatch,★★★,"Drama, Comedy"
2021/12/30/,Spencer,★★★½,"History, Drama"
2021/12/24/,The Matrix Resurrections,★★★,"Adventure, Science Fiction, Action"
2021/12/23/,The Power of the Dog,★★★★,"Western, Drama"
2021/12/23/,Last Night in Soho,★★★★,"Horror, Mystery"
2021/12/21/,Free Guy,★★★½,"Comedy, Adventure, Science Fiction"
2021/12/17/,Spider-Man: No Way Home,★★★,"Adventure, Action, Science Fiction"
2021/12/15/,Shang-Chi and the Legend of the Ten Rings,★★★★,"Adventure, Fantasy, Action"
2021/12/10/,Red Notice,★★½,"Crime, Comedy, Action"
2021/12/08/,House of Gucci,★★★½,"Drama, Crime, History"
2021/12/01/,"tick, tick... BOOM!",★★★★½,"Drama, Music"
2021/10/26/,Dune,★★★★,"Science Fiction, Adventure"
2021/10/10/,Cruella,★★★★,"Comedy, Adventure, Crime"
2021/07/09/,Black Widow,★★★,"Action, Adventure, Science Fiction"
